clo_id,clo
511100,"CLO1 ความหมายและสมบัติของฟังก์ชันเอกซ์โพเนนเชียล

CLO2 ความหมายและสมบัติของฟังก์ชันลอการิทึม

CLO3 เอกลักษณ์พื้นฐานของฟังก์ชันตรีโกณมิติ

CLO4 คำนวณการบวก ลบ คูณ หาร จำนวนจริงและเศษส่วนได้

CLO5 คำนวณค่าสัมบูรณ์ของจำนวนจริงได้

CLO6 คำนวณอัตราส่วน ร้อยละ และเทียบบัญญัติไตรยางศ์ได้

CLO7 คำนวณการบวก ลบ คูณ หาร พหุนามและเศษส่วนของพหุนามได้

CLO8 แยกตัวประกอบพหุนามและแก้สมการพหุนามกำลังสองตัวแปรเดียวได้

CLO9 แก้อสมการพหุนามและพหุนามกำลังสองตัวแปรเดียวได้

CLO10 แก้ระบบสมการเชิงเส้นได้

CLO11 คำนวณค่าของฟังก์ชัน การบวก ลบ คูณ หารของฟังก์ชัน ฟังก์ชันผลประกอบ และฟังก์ชันผกผันได้

CLO12 คำนวณเลขยกกำลังที่มีเลขชี้กำลังเป็นจำนวนเต็มและเลขยกกำลังที่มีเลขชี้กำลังเป็นจำนวนตรรกยะได้

CLO13 คำนวณรากที่ n ในระบบจำนวนจริง และจำนวนจริงในรูปกรณฑ์ได้

CLO14 หาค่าของลอการิทึมของจำนวนจริงได้

CLO15 แก้สมการเอกซ์โพเนนเชียล และสมการลอการิทึมได้

CLO16 เขียนกราฟของฟังก์ชันเชิงเส้น ฟังก์ชันพหุนามกำลังสอง ฟังก์ชันค่าสัมบูรณ์ ฟังก์ชันรากที่สอง ฟังก์ชันขั้นบันได ฟังก์ชันเอกซ์โพเนนเชียล และฟังก์ชันลอการิทึมได้

CLO17 ใช้ทฤษฎีบทพีทาโกรัสได้

CLO18 หาค่าของฟังก์ชันตรีโกณมิติได้"
511108,"CLO1 บอกความต่อเนื่องหรือไม่ต่อเนื่องของฟังก์ชันได้

CLO2 อธิบายความหมายของลำดับ อนุกรม อนุกรมลู่เข้าและอนุกรมลู่ออก

CLO3 หาลิมิตของฟังก์ชันพหุนาม ฟังก์ชันตรรกยะ ฟังก์ชันเอกซ์โพเนนเชียล ฟังก์ชันลอการิทึมและผลประกอบของฟังก์ชันเหล่านั้นได้

CLO4 หาอนุพันธ์ของฟังก์ชันพหุนาม ฟังก์ชันตรรกยะ ฟังก์ชันตรีโกณมิติ ฟังก์ชันเอกซ์โพเนนเชียล ฟังก์ชันลอการิทึมและผลประกอบของฟังก์ชันเหล่านั้นได้

CLO5 หาค่าต่ำสุดสูงสุดโดยการนำอนุพันธ์มาประยุกต์ใช้ได้

CLO6 บอกการลู่เข้าหรือลู่ออกของอนุกรมพีและอนุกรมเรขาคณิตได้"
511246,"CLO1 อธิบายเมทริกซ์ชนิดต่าง ๆ เช่น เมทริกซ์ทแยงมุม เมทริกซ์สามเหลี่ยม เมทริกซ์ขั้นบันได

CLO2 อธิบายหลักการและทฤษฎีของดีเทอร์มิแนนต์ของเมทริกซ์ได้

CLO3 อธิบายหลักการและทฤษฎีของปริภูมิเวกเตอร์ได้

CLO4 อธิบายหลักการและทฤษฎีของปริภูมิผลคูณภายในได้

CLO5 อธิบายหลักการและทฤษฎีของการแปลงเชิงเส้นได้

CLO6 อธิบายสมบัติทางพีชคณิตของการแปลงเชิงเส้นได้

CLO7 ตรวจสอบคุณสมบัติถึงการแปลงเมทริกซ์เป็นเมทริกซ์ทแยงมุม

CLO8 ใช้การดำเนินการขั้นมูลฐานบนเมทริกซ์ได้

CLO9 หาผลเฉลยของระบบสมการเชิงเส้นได้

CLO10 หาฐานของแต่ละปริภูมิเวกเตอร์ได้

CLO11 หาเมทริกซ์ของการแปลงเชิงเส้นได้

CLO12 หาค่าลักษณะเฉพาะและเวกเตอร์ลักษณะเฉพาะได้"
515104,"CLO1 อธิบายแนวคิดพื้นฐานทางสถิติและกระบวนการสถิติ ได้แก่ ตัวแปรและข้อมูล ระดับการวัดของตัวแปร การนำเสนอข้อมูล และวิเคราะห์ข้อมูล และการสรุปผลที่ได้จากการวิเคราะห์ข้อมูล

CLO2 อธิบายวิธีการเก็บรวบรวมข้อมูลทั้งจากการสำรวจ และการทดลอง

CLO3 อธิบายหลักการพื้นฐานของความน่าจะเป็นและตัวแปรสุ่มและใช้นิยามของความน่าจะเป็นแบบมีเงื่อนไขและความเป็นอิสระกันของเหตุการณ์เพื่อพิจารณาความเป็นอิสระกันของเหตุการณ์ได้

CLO4 อธิบายลักษณะและพฤติกรรมของตัวแปรสุ่มที่สำคัญทั้งชนิดไม่ต่อเนื่องและตัวแปรสุ่มชนิดต่อเนื่องโดยใช้ฟังก์ชันการแจกแจงความน่าจะเป็นและฟังก์ชันการแจกแจงความน่าจะเป็นสะสมของตัวแปรสุ่ม

CLO5 อธิบายแนวคิดของการแจกแจงค่าตัวอย่าง และอธิบายคุณสมบัติของการแจกแจงของค่าเฉลี่ยตัวอย่าง สัดส่วนตัวอย่างโดยใช้ทฤษฎีลิมิตสู่ส่วนกลาง

CLO6 อธิบายหลักการของการอนุมานทางสถิติและนำหลักการของการอนุมานทางสถิติไปใช้ในการประมาณค่าและทดสอบสมมติฐานเกี่ยวกับพารามิเตอร์ เพื่อแก้ปัญหาที่เกี่ยวข้องกับบริบทต่าง ๆ ในเชิงสถิติได้

CLO7 สรุปข้อมูลในเชิงความสัมพันธ์ระหว่างตัวแปร 2 ตัว โดยใช้กราฟ ตาราง และการคำนวณเชิงตัวเลข ได้แก่ การทำแผนภาพการกระจาย ตารางการณ์จร สัมประสิทธิ์สหสัมพันธ์ และเส้นการถดถอย พร้อมทั้งตรวจสอบและอธิบายความสัมพันธ์หรือความเกี่ยวพันระหว่างตัวแปรสองตัว โดยใช้ความระมัดระวังในการแปลความหมายของสหสัมพันธ์ (Correlation) และความเกี่ยวพัน (Associations)

CLO8 แปลความหมายของสารสนเทศเชิงปริมาณที่ได้จากการวิเคราะห์ข้อมูลและสื่อสารสารสนเทศและหลักการเชิงสถิติโดยใช้ภาษาที่เหมาะสมกับบริบทและผู้ฟัง

CLO9 เลือกและสร้างกราฟ ตารางและการสรุปเชิงตัวเลขที่เหมาะสมเพื่ออธิบายการแจกแจงของตัวแปรแต่ละตัวในชุดข้อมูลและอธิบายสารสนเทศที่ได้ในรูปแบบการเขียนเชิงพรรณนา

CLO10 ประยุกต์สถิติเพื่อใช้ประมวลผลข้อมูลด้านวิทยาศาสตร์ ธุรกิจ และเทคโนโลยีสารสนเทศ

CLO11 ใช้ภาษาโปรแกรมในการวิเคราะห์และแปลผลการวิเคราะห์ได้อย่างถูกต้อง"
515232,"CLO1 อธิบายหลักความน่าจะเป็นโดยสามารถแสดงขั้นตอนในการคำนวณหาค่าความน่าจะเป็นของเหตุการณ์และ/หรือตัวแปรสุ่มได้

CLO2 อธิบายกฎความน่าจะเป็น ความน่าจะเป็นแบบมีเงื่อนไข และทฤษฎีเบย์ที่เป็นพื้นฐานสำหรับการวิเคราะห์การจำแนกประเภทในปัญญาประดิษฐ์และ/หรือการเรียนรู้ของเครื่อง

CLO3 อธิบายประเภทของตัวแปรสุ่มและการแจกแจกจความน่าจะเป็นของตัวแปรสุ่มที่เป็นพื้นฐานในการศึกษาการลดมิติ การจัดกลุ่มสำหรับปัญญาประดิษฐ์และ/หรือการเรียนรู้ของเครื่อง"
517101,"CLO1 อธิบายหลักการเบื้องต้นของสิทธิ์ในการเข้าถึงข้อมูลรวมถึงเข้าใจหลักการของกฎหมายคุ้มครองข้อมูลส่วนบุคคลเพื่อสร้างความพร้อมในการเป็นพลเมืองดิจิทัล

CLO2 ใช้งานโปรแกรมประยุกต์เพื่อส่งเสริมการทำงานแบบร่วมมือกันและการทำงานเป็นทีม

CLO3 ใช้งานโปรแกรมประยุกต์เพื่อการติดต่อและการสื่อสาร

CLO4 ใช้งานโปรแกรมประยุกต์เพื่อนำเสนอผลงานอย่างสร้างสรรค์

CLO5 สื่อสารด้วยการใช้วิธีการจินตทัศน์สารสนเทศอย่างง่ายเพื่อนำเสนอผลงาน

CLO6 ดำเนินการค้นคว้า รวบรวม และประเมินข้อมูล จากแหล่งข้อมูลที่หลากหลายอย่างมีวิจารณญาณเพื่อสร้างความรอบรู้ทางด้านข้อมูลและสื่อ"
517112,"CLO1 อธิบายหลักการเบื้องต้นของภาษาอธิบายฮาร์ดแวร์ (Hardware description languages) เพื่อใช้ในการสังเคราะห์วงจรรวม

CLO2 อธิบายเทคนิคการลดรูปวงจรตรรกะ

CLO3 อธิบายการวิเคราะห์และออกแบบวงจรพื้นฐานสำหรับการสร้างวงจรองค์ประกอบของระบบคอมพิวเตอร์

CLO4 อธิบายหลักการตรรกะเชิงเลขเบื้องต้นในการนำไปใช้สร้างวงจรดิจิทัลและการประยุกต์ใช้ในการสร้างระบบคอมพิวเตอร์

CLO5 อธิบายการทำงานของวงจรตรรกะพื้นฐานทั้งแบบวงจรผสมและวงจรเชิงลำดับในการนำไปใช้เป็นองค์ประกอบของระบบคอมพิวเตอร์"
517121,"CLO1 อธิบายความสัมพันธ์ระหว่างระบบคอมพิวเตอร์กับการประมวลผลของโปรแกรม

CLO2 อธิบายชนิดข้อมูลและโครงสร้างข้อมูลประเภทต่าง ๆ ในแง่พื้นที่จัดเก็บ ช่วงค่าที่เป็นได้ ลักษณะการใช้งานได้

CLO3 เลือกใช้ชนิดข้อมูลที่เหมาะสมในการเขียนโปรแกรมเพื่อแก้ปัญหา

CLO4 แสดงข้อมูลในหน่วยความจำของตัวแปรชนิดต่าง ๆ และการเปลี่ยนแปลงที่เกิดขึ้นเมื่อทำงานตามคำสั่ง

CLO5 ระบุวัตถุประสงค์ ข้อมูลเข้า ผลลัพธ์ และขั้นตอนการทำงานได้

CLO6 เขียนโปรแกรมแบบโครงสร้างตามขั้นตอนการทำงาน

CLO7 ปฏิบัติตนเหมาะสมตามจริยธรรม และมีความรับผิดชอบต่อตนเองในการเข้าชั้นเรียน"
517122,"CLO1 ความคิดเชิงวัตถุเบื้องต้น การห่อหุ้ม การสร้างคลาส การทำงานและการส่งสารของคลาส วัตถุ การสร้างฟังก์ชันสำหรับกำหนดค่าเริ่มต้นและสิ้นสุด การสืบทอดคุณสมบัติ การทำพหุรูป การโอเวอร์โหลดฟังก์ชันและตัวดำเนินการ ฟังก์ชันสามัญ เทคนิคการเขียนโปรแกรมสำหรับปัญหาที่ซับซ้อน

CLO2 เลือกใช้ชนิดข้อมูลพื้นฐานหรือโครงสร้างข้อมูลชนิดคลาสตามลักษณะการใช้งานได้

CLO3 เขียนส่วนประกอบของโครงสร้างข้อมูลชนิดคลาสพร้อมสร้างวัตถุจากคลาสและเรียกใช้งาน

CLO4 ระบุวัตถุประสงค์ ข้อมูลเข้า ผลลัพธ์ และขั้นตอนการทำงานได้

CLO5 เขียนโปรแกรมโดยเลือกใช้อัลกอริทึมที่เหมาะสมเพื่อแก้ปัญหาที่ซับซ้อนได้

CLO6 เรียกใช้การทำงานของตัวสร้างและเมธอดของชนิดข้อมูลประเภทคลาส"
517211,"CLO1 อธิบายคำจำกัดความ ลักษณะและการดำเนินการกับโครงสร้างข้อมูลแบบเชิงเส้นและเชิงระดับชั้น

CLO2 เสนอโครงสร้างข้อมูลที่สามารถนำไปใช้ในการแก้ปัญหา

CLO3 เขียนโปรแกรมเพื่อสร้างและนำโครงสร้างข้อมูลไปใช้แก้ปัญหา

CLO4 วัดประสิทธิภาพของอัลกอริทึม

CLO5 ประยุกต์ใช้วิธีการเรียงลำดับและการค้นหาข้อมูลในแบบต่าง ๆ"
